Kanban100.pet:
	BestFS Ultimate Edition DFS,999,1000
	BestFS Ultimate Edition BFS,1000,1000
Kanban200.pet:
	BestFS Ultimate Edition DFS,996,1000
	BestFS Ultimate Edition BFS,969,1000
Kanban500.pet:
	BestFS Ultimate Edition DFS,994,1000
	BestFS Ultimate Edition BFS,720,1000
Kanban1000.pet:
	BestFS Ultimate Edition DFS,989,1000
	BestFS Ultimate Edition BFS,571,1000
FMS50.pet:
	BestFS Ultimate Edition DFS,1000,1000
	BestFS Ultimate Edition BFS,1000,1000
FMS100.pet:
	BestFS Ultimate Edition DFS,929,1000
	BestFS Ultimate Edition BFS,851,1000
FMS200.pet:
	BestFS Ultimate Edition DFS,1000,1000
	BestFS Ultimate Edition BFS,984,1000
FMS500.pet:
	BestFS Ultimate Edition DFS,911,1000
	BestFS Ultimate Edition BFS,236,1000
MAPK320.pet:
	BestFS Ultimate Edition DFS,1000,1000
	BestFS Ultimate Edition BFS,1000,1000
MAPK640.pet:
	BestFS Ultimate Edition DFS,993,1000
	BestFS Ultimate Edition BFS,1000,1000
MAPK1280.pet:
	BestFS Ultimate Edition DFS,1000,1000
	BestFS Ultimate Edition BFS,1000,1000
MAPK2560.pet:
	BestFS Ultimate Edition DFS,428,1000
	BestFS Ultimate Edition BFS,1000,1000
